date,query_id,query_text,category,platform,mentioned,accurate,position,competitors,competitor_ranks,brand_rank,brand_cited,description
2026-04-04,1,Best facial spa in Katy TX,direct_discovery,anthropic,no,no,,City Glow; Anita's Skin Care Clinic; Katy MediSpa; Face to Face Spa; MedSpa at Villagio; Spavia; Skincare by Monik; Facials by Jada,1:City Glow; 2:Anita's Skin Care Clinic; 3:Katy MediSpa; 4:Face to Face Spa; 5:MedSpa at Villagio; 6:Spavia; 7:Skincare by Monik; 8:Facials by Jada,,no,
2026-04-04,1,Best facial spa in Katy TX,direct_discovery,gemini,no,no,,Katy Med Tech Spa; Anita's Skin Care Clinic; Luxe Medical Aesthetics; Luminous MediSpa; Face to Face Spa,1:Katy Med Tech Spa; 2:Anita's Skin Care Clinic; 3:Luxe Medical Aesthetics; 4:Luminous MediSpa; 5:Face to Face Spa,,no,
2026-04-04,1,Best facial spa in Katy TX,direct_discovery,grok,no,no,,SkinSpirit; Spavia; All Is Well Holistic Spa; Anita's Skin Care Clinic; Katy Med Tech Spa; MedSpa at Villagio,1:SkinSpirit; 2:Spavia; 3:All Is Well Holistic Spa; 4:Anita's Skin Care Clinic; 5:Katy Med Tech Spa; 6:MedSpa at Villagio,,no,
2026-04-04,1,Best facial spa in Katy TX,direct_discovery,openai,yes,yes,mid,The Perfect Touch Spa; Suimin Spa; Divinity Spa; Spavia; Aika Skin Care; Ageless Med Spa,1:The Perfect Touch Spa; 2:Suimin Spa; 3:Divinity Spa; 4:Spavia; 5:Aika Skin Care; 6:Ageless Med Spa,4,no,**[GV Skincare](https://www.google.com/maps/search/GV+Skincare%2C+Katy%2C+TX?utm_source=openai)**
2026-04-04,1,Best facial spa in Katy TX,direct_discovery,perplexity,no,no,,Anita's Skin Care Clinic; Face to Face Spa; Spavia; Katy Med Tech Spa; Divinity Spa; Hand & Stone; Hibiscus Aesthetics & Wellness,1:Anita's Skin Care Clinic; 2:Face to Face Spa; 3:Spavia; 4:Katy Med Tech Spa; 5:Divinity Spa; 6:Hand & Stone; 7:Hibiscus Aesthetics & Wellness,,no,
2026-04-04,2,Best HydraFacial in Katy Texas,direct_discovery,anthropic,no,no,,4Ever Young Anti-Aging Clinic; Face to Face Spa; MedSpa at Villagio; Luminous MediSpa; Ageless Med Spa,1:4Ever Young Anti-Aging Clinic; 2:Face to Face Spa; 3:MedSpa at Villagio; 4:Luminous MediSpa; 5:Ageless Med Spa,,no,
2026-04-04,2,Best HydraFacial in Katy Texas,direct_discovery,gemini,no,no,,Luminous MediSpa; 4Ever Young Anti-Aging Clinic; Aesthetica MD Med Spa; Face to Face Spa; Ageless Med Spa; Restore Hyper Wellness; Selah MediSpa; Hibiscus Aesthetics & Wellness,1:Luminous MediSpa; 2:4Ever Young Anti-Aging Clinic; 3:Aesthetica MD Med Spa; 4:Face to Face Spa; 5:Ageless Med Spa; 6:Restore Hyper Wellness; 7:Selah MediSpa; 8:Hibiscus Aesthetics & Wellness,,no,
2026-04-04,2,Best HydraFacial in Katy Texas,direct_discovery,grok,no,no,,Face to Face Spa; MedSpa at Villagio; Wellness Spa Katy; Shining Way Esthetics; Viata Aesthetics and Wellness; Luminous MediSpa; Restore Hyper Wellness; Katy Med Tech Spa; 4Ever Glow Salon & MedSpa; Hibiscus Aesthetics & Wellness; Luxe Medical Aesthetics; Ageless Med Spa; Anita's Skin Care Clinic,1:Face to Face Spa; 2:MedSpa at Villagio; 3:Wellness Spa Katy; 4:Shining Way Esthetics; 5:Viata Aesthetics and Wellness; 6:Luminous MediSpa; 7:Restore Hyper Wellness; 8:Katy Med Tech Spa; 9:4Ever Glow Salon & MedSpa; 10:Hibiscus Aesthetics & Wellness; 11:Luxe Medical Aesthetics; 12:Ageless Med Spa; 13:Anita's Skin Care Clinic,,no,
2026-04-04,2,Best HydraFacial in Katy Texas,direct_discovery,openai,no,no,,Rich & Rooted Medspa; Selah MediSpa; 4Ever Glow Salon & MedSpa; Luminous MediSpa; Katy Med Tech Spa; Aesthetica MD Med Spa; Restore Hyper Wellness,1:Rich & Rooted Medspa; 2:Selah MediSpa; 3:4Ever Glow Salon & MedSpa; 4:Luminous MediSpa; 5:Katy Med Tech Spa; 6:Aesthetica MD Med Spa; 7:Restore Hyper Wellness,,no,
2026-04-04,2,Best HydraFacial in Katy Texas,direct_discovery,perplexity,no,no,,Ageless Med Spa; Restore Hyper Wellness; Luminous MediSpa; Luxe Medical Aesthetics; Face to Face Spa; Anita's Skin Care Clinic; Katy Med Tech Spa; Hibiscus Aesthetics & Wellness,1:Ageless Med Spa; 2:Restore Hyper Wellness; 3:Luminous MediSpa; 4:Luxe Medical Aesthetics; 5:Face to Face Spa; 6:Anita's Skin Care Clinic; 7:Katy Med Tech Spa; 8:Hibiscus Aesthetics & Wellness,,no,
